V1;V2
pdl_29173.csv;20-jun-18
pdl_29185.csv;21-jun-18
pdl_29186.csv;21-jun-18
pdl_29188.csv;21-jun-18
pdl_29189.csv;21-jun-18
pdl_29190.csv;21-jun-18
pdl_29191.csv;21-jun-18
pdl_29192.csv;21-jun-18
pdl_29194.csv;21-jun-18
pdl_29195.csv;21-jun-18
pdl_29196.csv;21-jun-18
pdl_29211.csv;03-jul-18
pdl_29212.csv;03-jul-18
pdl_29213.csv;03-jul-18
pdl_29214.csv;03-jul-18
pdl_29217.csv;04-jul-18
pdl_29218.csv;04-jul-18
pdl_29219.csv;04-jul-18
pdl_29220.csv;04-jul-18
pdl_29221.csv;04-jul-18
pdl_29224.csv;04-jul-18
pdl_29225.csv;04-jul-18
pdl_29226.csv;04-jul-18
pdl_29227.csv;04-jul-18
pdl_29228.csv;04-jul-18
pdl_29232.csv;05-jul-18
pdl_29233.csv;05-jul-18
pdl_29234.csv;05-jul-18
pdl_29235.csv;05-jul-18
pdl_29236.csv;05-jul-18
pdl_29237.csv;05-jul-18
pdl_29238.csv;05-jul-18
pdl_29241.csv;10-jul-18
pdl_29242.csv;10-jul-18
pdl_29243.csv;10-jul-18
pdl_29244.csv;10-jul-18
pdl_29245.csv;10-jul-18
pdl_29248.csv;10-jul-18
pdl_29249.csv;10-jul-18
pdl_29252.csv;11-jul-18
pdl_29254.csv;11-jul-18
pdl_29258.csv;11-jul-18
pdl_29259.csv;11-jul-18
pdl_29260.csv;11-jul-18
pdl_29266.csv;12-jul-18
pdl_29267.csv;12-jul-18
pdl_29268.csv;12-jul-18
pdl_29269.csv;12-jul-18
pdl_29270.csv;12-jul-18
pdl_29271.csv;12-jul-18
pdl_29272.csv;12-jul-18
pdl_29273.csv;12-jul-18
pdl_29274.csv;12-jul-18
pdl_29275.csv;12-jul-18
pdl_29276.csv;12-jul-18
pdl_29277.csv;12-jul-18
pdl_29278.csv;12-jul-18
pdl_29279.csv;12-jul-18
pdl_29280.csv;12-jul-18
pdl_29281.csv;12-jul-18
pdl_29282.csv;12-jul-18
pdl_29283.csv;12-jul-18
pdl_29284.csv;12-jul-18
pdl_29285.csv;12-jul-18
pdl_29286.csv;12-jul-18
pdl_29287.csv;12-jul-18
pdl_29288.csv;12-jul-18
pdl_29289.csv;12-jul-18
pdl_29290.csv;12-jul-18
pdl_29291.csv;12-jul-18
pdl_29292.csv;12-jul-18
pdl_29293.csv;12-jul-18
pdl_29294.csv;12-jul-18
pdl_29295.csv;12-jul-18
pdl_29296.csv;12-jul-18
pdl_29299.csv;18-jul-18
pdl_29300.csv;18-jul-18
pdl_29301.csv;18-jul-18
pdl_29302.csv;18-jul-18
pdl_29303.csv;18-jul-18
pdl_29304.csv;18-jul-18
pdl_29305.csv;18-jul-18
pdl_29306.csv;18-jul-18
pdl_29307.csv;18-jul-18
pdl_29308.csv;18-jul-18
pdl_29309.csv;18-jul-18
pdl_29310.csv;18-jul-18
pdl_29311.csv;18-jul-18
pdl_29312.csv;18-jul-18
pdl_29313.csv;18-jul-18
pdl_29314.csv;18-jul-18
pdl_29315.csv;18-jul-18
pdl_29316.csv;18-jul-18
pdl_29317.csv;18-jul-18
pdl_29318.csv;18-jul-18
pdl_29319.csv;18-jul-18
pdl_29320.csv;18-jul-18
pdl_29321.csv;18-jul-18
pdl_29322.csv;18-jul-18
pdl_29323.csv;18-jul-18
pdl_29324.csv;18-jul-18
pdl_29325.csv;18-jul-18
pdl_29326.csv;18-jul-18
pdl_29327.csv;18-jul-18
pdl_29328.csv;18-jul-18
pdl_29329.csv;18-jul-18
pdl_29333.csv;19-jul-18
pdl_29334.csv;19-jul-18
pdl_29335.csv;19-jul-18
pdl_29336.csv;19-jul-18
pdl_29337.csv;19-jul-18
pdl_29338.csv;19-jul-18
pdl_29339.csv;19-jul-18
pdl_29342.csv;31-jul-18
pdl_29343.csv;31-jul-18
pdl_29344.csv;31-jul-18
pdl_29345.csv;31-jul-18
pdl_29346.csv;31-jul-18
pdl_29347.csv;31-jul-18
pdl_29348.csv;31-jul-18
pdl_29349.csv;31-jul-18
pdl_29350.csv;31-jul-18
pdl_29351.csv;31-jul-18
pdl_29352.csv;31-jul-18
pdl_29353.csv;31-jul-18
pdl_29354.csv;31-jul-18
pdl_29355.csv;31-jul-18
pdl_29356.csv;31-jul-18
pdl_29357.csv;31-jul-18
pdl_29358.csv;31-jul-18
pdl_29359.csv;31-jul-18
pdl_29360.csv;31-jul-18
pdl_29361.csv;31-jul-18
pdl_29362.csv;31-jul-18
pdl_29363.csv;31-jul-18
pdl_29364.csv;31-jul-18
pdl_29365.csv;31-jul-18
